file|general|aasist|aasist_cue|aasist_loc|aasist_audible|camhfa|camhfa_cue|camhfa_loc|camhfa_audible|sls|sls_cue|sls_loc|sls_audible|aasist_range/start|aasist_range/end|camhfa_range/start|camhfa_range/end|sls_range/start|sls_range/end|similarity|aasist_range|camhfa_range|sls_range
E_0005941246|Clear intelligible voice, might be some codec or room reverb|"Fused two words togehter ""listened to *Frederic-at*"", sounds like a one syllable at the end"|transition|4|true|Melodic pronunciation|phoneme|4|true|spread, the highest attribution at the beginning|unclear|1|false|0.6855353656199858|1.005826479065389|1.1772103204703857|1.269926169099318|0|0.13766898735811192|Different regions and cues|||
E_0000701529|Clear voice with some synthesis artefacts, but sounds good|Spread, but highest attribution at the end|unclear|1|false|"transition between words,  the preposition ""the"""|transition|5|true|Spread, highest attribution at the beginning|unclear|1|false|8.415852765873767|8.601625442504883|5.941220507353617|6.03936456293232|0|0.12268006947337853|Different cues and regions|||
E_0001615333|Clear voice with some synthesis artefacts, but sounds good|Spread over the recording, but highest at the end where there is a noticeable robotic voice buzz|unclear|3|true|"the ""u"" vowel in ""popularity"" is buzzy robotic"|phoneme|5|true|Loudest segment got the highest attribution, otherwise spread|phoneme|3|true|9.649963635395675|9.797687530517578|3.465522728805728|3.553358558337671|0.38727615748174615|0.8184702297294635|All probably focus on the robotic buzz in the voice, although in different regions|||
E_0009540148|Voice that is very distorted, with loud reverb that makes the voice unintelligible|Low-frequency humm at the beggining of the recording and word|transition|4|true|Blabbering, unintelligible segment|phoneme|3|true|"Robotic transition at the end of the word ""mind"""|transition|3|true|0|0.0860648419474234|3.5940677997244013|4.261930973236407|0.7332724533920474|1.1945800062302367|Similar features (blabbering, robotic vowels/transitions) at different places|||
E_0000259237|Noisy and intelligible recording, hard to comprehend the voice|Labelled the most intelligible part of the recording the highest, otherwise unsure|phoneme|4|true|Unnatural pause between words|transition|5|true|Unclear|unclear|1|false|3.047703958276626|3.5086842795747417|0.18922336332761083|0.25363982743913793|0|4.024015992466958|Unclear, not really focusing on the same|||
E_0004157656|Unintelligible, very distorted voice, suspiciously ideal silence|The loudest/most energy segment got labelled as the most prominent attribution, but similar artefacts are in the rest of the recordings as well|noise|4|false|Interesting region, the same artefacts firstly provide strong bona fide attribution and then strong spoof attribution|glitch|4|true|Strongest artefacts at the end of the recordings|glitch|4|true|0.7279031399118288|1.4499360932114653|1.1583834914725877|1.4068880580553895|3.2696939429910374|4.050428762412595|Probably all artefacts of synthesis|||
E_0001110707|Weird, cutty voice, hardly intelligible. Suspiciously ideal silence.|Spread, the highest attribution at the start |transition|4|false|Not fluent word transition|transition|5|true|High energy in high frequencies segment|spectral|4|false|0|0.13822610531770416|0.26065494145624213|0.45417148890102793|0.7780155070739349|1.04656908311976|Dissimilar|||
E_0008528678|Intelligible except few words, noisy, messy and blurry spectrogram|Spread, but the highest attribution at the start|glitch|1|false|Very high spike at the start of the word|glitch|5|false|Spread, unclear|unclear|1|false|0|0.18162744260941857|0|0.08475947321772867|0|3.999839902798529|AASIST and CAMHFA focus on the beginning, SLS spread|||
E_0003499201|unintelligible blabbering, messy blurry spectrogram. The recording is more of a buzz than speech|Buzz in the whole recording instead of speech|glitch|1|true|"loudest buzz on what is supposed to be ""a"" phoneme or something like that"|glitch|4|true|Buzz in the whole recording|glitch|1|true|-0.15678552601914536|4.635562419891357|3.2244926857190497|3.3945010874265567|0|4.029199120467916|Probably all focus on the buzz that it supposed to be voice|||
E_0002470037|Cracky voice, but clean recording|"Highest spoof attribution in the hissing ""s"" phoneme, but otherwise bona fide attributions over the course of the recording"|phoneme|2|true|vowel phonemes have the highest bona fide attribtions|phoneme|5|true|Voiced regions have bona fide attribtusion|phoneme|2|false|8.420190585757428|8.601079263042024|8.196739866758811|8.274770276567851|0.3582305177596884|2.8800314893155146|No obvious similarity|||
E_0008795785|sounds compressed, but the very natural breath in the middle is a clear indication of bona fide|The breath has the strongest spoof attribution, but not enough to change the decision|breath|3|true|Unnatural cut at the end of the recording, otherwise stable 0 attributions, slightly bona fide|glitch|5|true|Higher bona fide attributions in voiced regions, collapses to zero in silent regions, breath is a strong indicator|breath|4|true|3.3750766833428942|4.070565277323455|7.33725412783821|7.388437271118164|2.8512021580068874|4.03744677284819|AASIST and SLS breath, CAMHFA confused by end cut|||
E_0006951325|Compressed noise, buzzy/robotic voice|Melodicity of the voice is high in the selected segment, but there are also moderate bona fide attributions elsewhere |phoneme|4|false|Natural reverb/continuation between words|transition|5|true|Non-clicky, natural pronunciation of a complex word|phoneme|4|false|1.9333378691545036|2.3985592104500646|3.4967866390822087|3.6111853295647234|1.0791609802183915|1.7121670675549745|different|||
E_0000920445|Understandable, but compressed, cracky voice, natural breathing during the recording|robotic crack during speaking|noise|3|true|natural connection of two words|phoneme|5|true|Normal melodic speech|phoneme|3|false|0.33354232247126425|0.8631139046405523|4.87732501368068|5.000209027222724|0.1170323938495664|0.8660397144867914|not really similar|||
E_0000971935|Clean recording with no noise/codec|"Wierd pronunciation of the word ""granted"", significant ending consonants ""t"" and ""d"""|phoneme|3|true|"Very notable ending consonants ""t"", ""d"""|transition|5|true|"Very notable ending consonants ""t"", ""d"""|phoneme|4|true|0.6326669923833647|1.4420709178616773|3.1377209136421933|3.2043174391562315|1.052737384087299|1.2730181992491183|Similar cues and regions, all three detectors look for similar things in the recording|||
E_0007692813|A bit flat voice, missing depth and energy at lower frequencies|Flat attributions over the whole recording|unclear|1|false|"transition between phonemes in ""rind"""|phoneme|5|true|"Stronger attributions at various places with ""ae"" phoneme"|unclear|1|false|0|7.881578809183209|6.786467736391099|6.982943546509684|0|4.013259990291083|different attributions|||
E_0001719511|Noisy recording with a bit of echo and strong reverb|"Very fluent, connected pronunciation of the phrase ""call upon him myself"", with the words blending together"|phoneme|4|true|"""th"" phoneme is labeled both as bona fide and spoof attribution at multiple places"|phoneme|4|true|Strongest bona fide attribution at the place with a hearable breath-in|breath|4|true|2.112607962150543|2.684441696266479|4.094170693566183|4.213302721507003|3.0338956448928847|3.5898451086167116|Different cues and places|||
E_0009563294|Clear recording, no perceivable noise, codec, or reverb, suspiciously clean silence|"""wise"" phoneme"|phoneme|4|true|respiratory sound at the end of a sentence|breath|5|true|"the phonemes in ""first"" are a clear indication"|phoneme|4|true|0.6029248937126477|0.963578597257656|3.1467723904728597|3.2596487404373278|2.5300820882279598|3.433092887943706|All three have similar regions and cues|||
E_0002292647|Very compressed voice but no noise or reverm, suspiciously clean silence|silence has the highest attributions, spiky, both spoof and bona fide attributions|breath|4|false|"and of the word ""men"""|transition|5|false|Melodicity, when words start the attributions go up for bona fide|transition|4|false|1.4786273346942134|2.682236456152085|6.50013635755071|6.7848610959601|2.6045842547677065|3.4522874532138417|different cues and different places|||
E_0009310977|clean recording, no noise or reverb, suspiciously clean silence|Unnatural cut|glitch|5|true|"Transition between ""ask"" and ""anything"""|transition|5|true|"melodic pronunciation of ""anything"", strong bona fide attributions"|phoneme|4|true|2.704124690850964|2.8273060759005744|3.410951209826108|3.516535254154345|3.226179132251693|4.003395014112328|CAMHFA+SLS focus on the same melodic places, AASIST noticed wierd cut/unnaturally short silence|||
E_0009198723|strong accent, slow speaking style, probably compressed|"very natural pronunciation of the word ""independently"""|phoneme|4|true|"very natural pronunciation of the word ""independently"", especially big spike in the ""t"" phoneme"|phoneme|5|true|"end of the word ""chewed"" with a strong ""d"""|phoneme|4|true|3.772140944402395|4.639257727936214|3.874585121359977|4.910003052752681|1.2585998883360074|1.53666265436373|"Similar regions, probably also similar cues at phonemes like ""t"", ""d"" or similar"|||
E_0006000280|strong accent, clean recording, little flat voice|Breathy speaking style caught by the microphone|breath|4|true|Breathy speaking style caught by the microphone|breath|4|true|Breathy speaking style caught by the microphone|breath|4|true|2.893780290934742|3.8711667375634526|3.039620676950021|3.5692515524791912|2.768408731026871|3.492493454576413|Same regions and cues|||
E_0007790940|clean recording, compressed, audible breath at 3s|Spiky attributions all over the recording|unclear|1|false|"melodic dip in the word ""room"""|phoneme|5|true|breathing|breath|3|true|0.015607044380082284|7.659937381744385|7.0138057444089785|7.154269143829719|2.8217536239188767|3.2962077730733785|different cues and regions|||
E_0008999922|clicky noise, audible breath at 3.5s, otherwise clean recording with melodic voice|blabbery part, hard to understand|phoneme|3|false|blabbery part where words flow over each other|phoneme|5|false|Breathe into start of sentence, very positive bona fide attributions|transition|4|true|0.4517755333543698|0.8474482226974126|5.267761774537227|5.3297701810760625|3.661448767055023|4.03054642502428|Different regions|||
E_0001570835|codec/noise, audible breath/respiration during talking, nosy tone|"prolonged end of ""pleasure"""|phoneme|4|true|respiration and very nasal tone|phoneme|4|true|respiration sound|breath|4|true|3.7366481103251985|4.279064771501437|0.5636879027909929|1.3578142564084925|0.3367946589002788|0.7515838703879906|CAMHFA and SLS focus on the breath and nosy tone, AASIST unconventional pronunciation|||
E_0008277582|clean recording, hearable breath at 5.5s|Pretty flat attributions over the whole recordings|unclear|1|false|"Melodic pronunciation of ""before"""|phoneme|4|true|"strong end of word phoneme ""t"""|phoneme|4|true|0.010185360617043046|8.331624984741211|4.878787735563619|5.160582712635143|2.8247400111266048|3.2083885943685595|very different|||
E_0006284468|lossy, flat voice, probably hard compression, hearable breath at 0.8s and 3.7s|Small spiky attributions over the whole recording|unclear|1|false|"teh hissing ""s"" phoneme"|phoneme|4|true|Biggest attribution in the most melodic regions|phoneme|3|true|0.0043605848746078235|5.350437641143799|3.1701452038398874|3.488467899686259|0.3292241580328907|0.837232295924702|Different regions and different cues|||
E_0003902678|High quality recording, audible breath at 3.7s, clean voice with depth|High melodicity segment with highest attributionm but otherwise spread over the whole recording|phoneme|1|false|Very low voice compared to the rests of the recording|phoneme|5|true|Small bona fide attributions over the whole recording|unclear|1|false|0.35987246201693185|0.6329899555119248|2.8532745202771026|2.997866134480334|0|4.06141778561966|Different|||
E_0000543313|Clean recording, maybe compressed, feels a bit flat. Inaudible breath at 4s|Spread along the whole recording|unclear|1|false|"The ""t"" in ""dreamt"" is the deciding factor"|phoneme|5|true|All voiced regions have significant bona fide attribution|transition|1|false|0.010060131987033087|8.229187965393066|3.5948204966998234|3.7289555898602647|-0.22802965837275|3.7524292311633416|Different|||
E_0004916264|hoarse/muffled voice but sounds real, just with a strict bitrate|Codec crack|noise|4|true|Melodic dip of voice|phoneme|5|true|"phonemes in ""objection"""|phoneme|3|true|1.2543656925117475|1.4259534523364674|7.103141574812985|7.209644322290397|2.535357071892848|3.1980408339745257|Different|||
E_0001492187|Compressed, slow speech, flat, telephony-like voice|Silent regions have spoof attributions, while voiced have bona fide attributions|silence|3|false|"start of word, emhasized ""to"""|transition|5|false|Silent regions more spoof, transitions from silence to speech significantly bona fide|transition|4|false|0.6720488153051922|1.2726721526552434|4.990043618956911|5.097181835889622|1.1200813588419871|1.82784291312475|all three focus on transitions and silence|||
E_0002867336|accent voice, high-gain microphone - culling in some parts of the recording|melodic pronunciation|phoneme|2|false|Codec buzz|noise|4|true|Audible breath|breath|3|true|3.697916770039677|4.37920438009447|6.152659241319577|6.258012995451761|2.4196245532358382|3.5223271798193694|Dissimilar|||
E_0003789506|Higher quality recording, still some codec or non-professional microphone|"Codec hiss on ""s"" phoneme, spoof attribution"|glitch|4|true|"phoneme ""s"" bona fide attribution"|phoneme|4|true|Melodic voice + subtle breath|breath|4|true|2.4331300513182796|2.550175666031841|5.653657874345973|5.760062978631029|2.8374694476014923|4.022112941975116|"AASIST and CAMHFA focus on parts with ""s"" phoneme"|||
E_0008989456|Clean recording, subtle breath at 2.5s and 7.2s|"hissing phoneme ""s"""|phoneme|4|true|"transition from silence to ""and"""|transition|5|false|Serious bona fide attributions over the whole recordings. Voiced regions are stronger than silence|phoneme|2|false|5.0927424011137195|5.21218838493515|7.611966787165708|7.691597443046662|0|4.021348121988161|different|||
E_0005028655|wierd spectrogram, missing mid spectrum around 1kHz, the voice sounds not full. Maybe microphone-specific? suble breaths througouht the recording|Silence is suspicious for AASIST|silence|4|false|"end of word ""camp"", the end of the word is swallowed and not audible, which seems like a strong bona fide attribution for CAMHFA"|transition|5|true|"accented pronunciation of the word ""return"""|transition|4|true|7.5340023833556975|7.76701276634608|5.779363590231152|5.853503257546273|0.7590489748929123|0.8967369284781384|dissimilar|||
E_0006580108|sounds compressed, blurred spectra, breath at 4s|spread attributions, silence is suspicious for aasist, but some codec artifacts are stronger|noise|3|false|Spiky start of sentence|transition|5|true|probably melodic pronunciation|phoneme|3|false|4.1314859087134925|4.375883666693728|4.065537307353747|4.179977527360364|3.0084200208519376|3.7183373178421433|regions close for the detectors, but not the same|||
E_0002504556|compressed, legit spectra in silences, sounds dull, telephony-like|Silence is suspicious for aasist|silence|3|false|end of word|transition|5|false|end of word, more significant attributions are in the voiced regions|transition|3|false|5.933793956318228|6.661074544320576|2.232819375315622|2.351767135035632|2.1954357936893327|2.460519372493927|CAMHFA+SLS same region, AASIST is confused by silence|||
E_0001666716|"reverb/resonance, very hissy ""s"", loud breath at 5s, breathy speech"|Breathe and start of sentence|breath|2|true|"""akin"", the ""a"" is small spoof attribution while ""kin"" is strong bona fide attribution"|phoneme|5|true|"Stronger attributions at voiced segments and the obvious phonemes ""s"", ""akin"" etc."|phoneme|1|true|4.991758903061945|6.6060833173159565|3.74195935654271|3.849828960260144|0|4.032091394127533|different cues and regions|||
E_0009198285|compression, little noisy|very compressed speech at this segment|phoneme|4|false|"The part is missing depth, the energy is flat even in strong phonemes like ""d"", probably due to compression"|phoneme|3|false|Spread over the whole recordings, maybe the compression artefacts fooled it|unclear|1|false|0.2834186973665046|1.0004005210615312|1.0510110027341213|2.0244192669036045|0.010122096334518021|4.050525549862962|maybe similar cues, but different regions|||
E_0001820822|Very cracky, noisy, compressed. Sounds very generated even though it isn't. Hearable breath at 1.2s|Codec artefacts all over the recording|noise|1|true|Strongest codec artefacts at the selected segment|noise|4|true|Codec artefacts in the whole recording|noise|1|true|0.008244804376106293|5.058187484741211|4.450133162003372|4.928331815817537|0|4.029648138821951|All probably focus on the extreme compression and codec artefacts|||
E_0009353011|Compressed, noisy|Strongest codec artefacts in long phonemes|noise|3|true|Melodic dip helps the detector with bona fide attribution, but the codec artefacts in the rest of the recordings overweight this|phoneme|4|true|Codec artefacts over the whole recordings, strongest attributions at unvoiced segments|noise|1|true|2.4290265251974215|3.4269093386798537|0.693678353021275|0.7535974134151393|0.002304579245917857|4.049145735077675|Probably similar|||
E_0006234442|Compressed beyond comprehension. Mostly unintelligible||noise|4|true||noise|5|true||noise|1|true|0.35672650885173923|0.9040329333913939|1.4513393579310485|1.5466293157750064|0|4.004621561698634|Similar, codec artefacts/unintelligibility|||
E_0005306386|dull, muffled recording, compressed||noise|1|true|Strongest compression artefact at the selected region|noise|5|true||noise|1|true|0.0017359157646197852|4.259937286376953|4.101968951796553|4.2512577075538545|0|4.039475984270241|Codec probably|||
E_0003279619|Strong compression, but intelligible. Sounds robotic, blurry spectra|Strongest attributions at the start and end of recording, codec artefacts over the whole recording|noise|1|true||noise|5|true||noise|1|true|0|5.046062469482422|1.6964146443858998|2.122060500613635|0|4.0343824633759215|Codec again probably|||
E_0001117668|Heavy compression, sometimes intelligible||noise|1|true|code when transitioning from silence to voiced|transition|5|true||noise|1|true|0|4.600426435664891|0.8712644351626571|0.9632729638759548|0|4.04274208815776|Codecs again i guess|||
E_0007768420|heavy compression, robotic, buzzy voice. blurry spectra||noise|4|true|The compression removed important acoustic properties, which make it sound unintelligible and robotic. CAMHFA therefore labelled it as a spoof|noise|5|true|"Compressed phoneme ""s"" is very robotic and has the highest attributions"|noise|4|true|0.3218556765919307|1.1531385499088378|4.640263628745915|5.117718407266395|3.3698928787539235|3.9091609991364296|Codec again i guess|||
E_0005380626|Compressed, sometimes missing higher frequency spectra, sounds like dull echoing without articulation, hard to understand||noise|4|true||transition|5|true||transition|1|false|0.4761035922298416|1.1734947695805955|2.7560362874149984|2.863327237776653|0|4.035145586257848|I guess codec/spectral disparities|||
E_0005920988|very compressed, sounds robotic, missing spectral bands|Higher energy region with higher attributions|noise|4|false|Missing spectral bands|spectral|4|true||noise|1|true|1.3221387758231689|2.001155748926923|7.056392244721391|7.340562343597412|0|4.011285290449931||||
E_0004840976|Sounds compressed, understandable speech, breath at 6s, otherwise suspiciously clean silence|Voiced regions are bonafide attributions, unvoiced are spoof attributions|silence|4|false|"the phoneme ""s"""|phoneme|5|true|Slight bona fide attributions over the whole recordings, however not enough|noise|1|false|5.522892633685273|6.363701334209489|1.9731881601011843|2.0952410359837317|0|4.010793115807046|Different cues and regions|||
E_0006767120|slow and calm reading voice, sounds like lower-quality microphone, pixelated/blocky spectrum|brumlin before speech start|transition|4|true|brumlin before speech start|transition|5|false|brumling before speech start|transition|5|false|0.006050314393433385|0.38116980678630324|0.03030719397202978|0.266703306953862|0|0.2552769761213755|Very similar, start of the recording regions and therefore probably also same cues|||
E_0009289984|hevy compression, unintelligible||noise|1|false|alternating spoof and bona fide attributions|noise|1|false||noise|1|false|0.013178305598712104|4.57475465783863|0.003765230171060601|4.610524344463706|0|4.030678898120374|all focus on the whole recording pretty much|||
E_0000957136|heavy codec artefacts, normal paced speech|Higher energy region with more audible codec artefacts|noise|4|true||glitch|5|false||noise|2|false|4.439196003095445|4.995453554144116|0.664901603987864|0.7713727758682736|0|1.02777274080477||||
E_0005750182|small breath at 5.5s, decent microphone, slow paced reading speech|"""s"" phoneme with high energy"|phoneme|5|true|"""key"" phoneme in ""deprecation"""|phoneme|5|true|"hissing ""s"" phoneme"|phoneme|2|true|4.0902403683417585|4.212337095754945|4.729794654791784|4.846077252328153|0|0.09302607802909472|similar cues, phonemes|||
E_0009228011|wierd noise in silences, very clicky and buzzy, somewhat intelligible|higher attributions in regions with louder/higher noise|noise|4|true|noisy click|noise|5|true|Robotic and noisy speech|glitch|4|true|4.635908813523197|5.095084543624542|3.8765027983555873|3.9559755208731278|0|0.4915535059418247|probably similar cues|||
E_0000410251|blurry, drawn-out spectra, suspiciously clean silences for how noisy the rest is|"robotic ""the"""|glitch|4|true|Robotic stuttering, noise|glitch|4|true|robotic pronunciation|glitch|4|true|1.8717370930977146|2.1397125676286444|2.898635476414712|3.4591337971893283|0.07568772944766715|0.1472842302765415|Focuses on synthesis artefacts|||
E_0004028892|Noisy spectra, dull reverberant/effect voice|Robotic voice|glitch|4|true|nosy robotic pronunciation|glitch|4|true|Echo, reverb-like start, wierd|noise|4|true|1.9785271281620886|2.5867542742517|1.5491903191576573|1.7853255641100945|0|0.16815691686006903|same cues but different regions|||
E_0007749030|fast speech which suddenly slows, natural silences, pretty clean|echo in the recording fooled the detector|noise|4|false||transition|5|false|alternating attributions|unclear|1|false|8.617558140043524|9.052706191475643|8.507754426130747|8.58502370629159|0|3.98953493883091||||
E_0002480132|clean recording with compression||noise|1|false|"""s"" phoneme"|phoneme|5|true||noise|1|false|0|4.589816575916977|2.86091705853121|2.958214433968504|0.0018711033737941203|4.039712184021505||||
E_0007815930|compression artefacts, however sounds as natural speech otherwise|click in the recording|glitch|4|true|click in the recording|glitch|5|true|clicks in the recording|glitch|4|true|0.4476657127498512|0.6799133381614281|2.699457906957749|2.7970692277829046|1.484365258065296|1.8276878347606706|all focus on clicks/codec artifacts in the recording|||
